144681,2023-01-01,2023-01-04,2023-01-10,Identity and Access Management
144683,2023-01-02,2023-01-12,2023-01-13,Desktop and Mobile Device Support
144685,2023-01-02,2023-01-03,2023-01-10,Desktop and Mobile Device Support
144690,2023-01-02,2023-01-03,2023-01-10,Printing and Related Services
144692,2023-01-02,2023-01-05,2023-01-10,Desktop and Mobile Device Support
144693,2023-01-02,2023-02-01,2023-02-08,Report Outage or Error
144695,2023-01-02,2023-01-03,2023-01-10,Report Outage or Error
144698,2023-01-02,2023-01-05,2023-01-10,Identity and Access Management
144700,2023-01-02,2023-01-09,2023-01-10,Request Help
144701,2023-01-02,2023-01-03,2023-01-10,Report Outage or Error
144705,2023-01-02,2023-01-18,2023-01-18,Hardware Lifecycle Services
144706,2023-01-02,2023-01-06,2023-01-10,DUO
144707,2023-01-02,2023-01-05,2023-01-10,Email and Collaboration Services
144709,2023-01-02,2023-01-09,2023-01-10,SNAC
144713,2023-01-02,2023-01-03,2023-01-10,Report Outage or Error
144714,2023-01-02,2023-01-05,2023-01-10,Printing and Related Services
144715,2023-01-02,2023-01-05,2023-01-12,Email and Collaboration Services
144718,2023-01-02,2023-01-03,2023-01-10,Email and Collaboration Services
144724,2023-01-02,2023-01-18,2023-01-10,Conferencing and Telephones
144725,2023-01-02,2023-01-18,2023-01-10,Conferencing and Telephones
144731,2023-01-02,2023-01-06,2023-01-10,SNAC
144732,2023-01-02,2023-01-03,2023-01-10,Report Outage or Error
144735,2023-01-02,2023-01-05,2023-01-10,Printing and Related Services
144737,2023-01-02,2023-01-03,2023-01-10,Printing and Related Services
144738,2023-01-02,2023-01-06,2023-01-10,Desktop and Mobile Device Support
144739,2023-01-02,2023-01-03,2023-01-10,Report Outage or Error
144741,2023-01-02,2023-01-06,2023-01-13,Desktop and Mobile Device Support
144743,2023-01-02,2023-01-03,2023-01-10,Report Outage or Error
144744,2023-01-02,2023-01-10,2023-01-13,Hardware Lifecycle Services
144747,2023-01-02,2023-01-06,2023-01-10,SNAC
144756,2023-01-03,2023-01-09,2023-01-10,Conferencing and Telephones
144775,2023-01-03,2023-01-03,2023-01-10,Printing and Related Services
144788,2023-01-03,2023-01-10,2023-01-17,Report Outage or Error
144791,2023-01-03,2023-01-10,2023-01-16,Printing and Related Services
144793,2023-01-03,2023-01-05,2023-01-10,Printing and Related Services
144795,2023-01-03,2023-01-04,2023-01-10,Conferencing and Telephones
144800,2023-01-03,2023-01-09,2023-01-10,Email and Collaboration Services
144804,2023-01-03,2023-01-10,2023-01-11,Internal Applications
144805,2023-01-03,2023-01-10,2023-01-11,Internal Applications
144806,2023-01-03,2023-01-10,2023-01-11,Internal Applications
144818,2023-01-03,2023-01-04,2023-01-10,Report Outage or Error
144825,2023-01-03,2023-01-04,2023-01-10,Report Outage or Error
144835,2023-01-03,2023-01-06,2023-01-13,Internal Applications
144836,2023-01-03,2023-01-09,2023-01-12,Access Request
144840,2023-01-03,2023-01-09,2023-01-12,Network Request
144842,2023-01-03,2023-01-09,2023-01-10,Conferencing and Telephones
144844,2023-01-03,2023-01-09,2023-01-16,Desktop and Mobile Device Support
144848,2023-01-03,2023-01-04,2023-01-11,Conferencing and Telephones
144853,2023-01-03,2023-01-20,2023-01-27,IT Service Delivery and Support
144866,2023-01-03,2023-01-09,2023-01-10,Request Help
144872,2023-01-03,2023-01-11,2023-04-17,Desktop and Mobile Device Support
144892,2023-01-04,2023-01-27,2023-02-02,Report Outage or Error
144894,2023-01-04,2023-01-10,2023-01-11,Conferencing and Telephones
144908,2023-01-04,2023-01-10,2023-01-11,Internal Applications
144920,2023-01-04,2023-01-06,2023-01-27,Conferencing and Telephones
144924,2023-01-04,2023-01-06,2023-01-11,Email and Collaboration Services
144931,2023-01-04,2023-01-06,2023-01-11,Email and Collaboration Services
144932,2023-01-04,2023-01-06,2023-01-11,Email and Collaboration Services
144934,2023-01-04,2023-01-10,2023-01-11,Request Help
144935,2023-01-04,2023-01-24,2023-02-01,Email and Collaboration Services
144936,2023-01-04,2023-01-17,2023-01-18,Request Help
144941,2023-01-04,2023-01-05,2023-01-11,Report Outage or Error
144942,2023-01-04,2023-01-05,2023-01-11,Desktop and Mobile Device Support
144946,2023-01-04,2023-01-05,2023-01-11,Report Outage or Error
144948,2023-01-04,2023-01-06,2023-01-11,Desktop and Mobile Device Support
144950,2023-01-04,2023-01-10,2023-01-11,Request Help
144951,2023-01-04,2023-01-10,2023-01-11,Request Help
144958,2023-01-04,2023-01-23,2023-02-23,Conferencing and Telephones
144967,2023-01-04,2023-01-25,2023-02-01,Conferencing and Telephones
144972,2023-01-04,2023-01-23,2023-01-30,Report Outage or Error
144978,2023-01-04,2023-01-13,2023-01-16,Conferencing and Telephones
144981,2023-01-04,2023-02-16,2023-01-11,Informational
144983,2023-01-04,2023-01-12,2023-01-13,Software and Applications Distribution
144986,2023-01-04,2023-01-10,2023-01-11,Request Help
144989,2023-01-04,2023-01-11,2023-01-12,Conferencing and Telephones
144999,2023-01-04,2023-02-16,2023-01-13,Software and Applications Distribution
145004,2023-01-04,2023-01-10,2023-01-18,Desktop and Mobile Device Support
145012,2023-01-04,2023-01-06,2023-01-12,Network Request
145014,2023-01-04,2023-01-10,2023-01-13,Request Help
145017,2023-01-05,2023-01-09,2023-01-13,DUO
145019,2023-01-05,2023-01-09,2023-01-12,Email and Collaboration Services
145031,2023-01-05,2023-01-05,2023-01-12,Desktop and Mobile Device Support
145041,2023-01-05,2023-01-05,2023-01-12,Report Outage or Error
145042,2023-01-05,2023-01-05,2023-01-12,Report Outage or Error
145056,2023-01-05,2023-01-06,2023-01-12,Conferencing and Telephones
145058,2023-01-05,2023-01-11,2023-01-16,Software and Applications Distribution
145059,2023-01-05,2023-02-24,2023-02-27,Conferencing and Telephones
145060,2023-01-05,2023-02-14,2023-02-15,Conferencing and Telephones
145062,2023-01-05,2023-02-24,2023-02-27,Conferencing and Telephones
145063,2023-01-05,2023-02-24,2023-02-27,Conferencing and Telephones
145064,2023-01-05,2023-02-24,2023-02-27,Conferencing and Telephones
145067,2023-01-05,2023-01-06,2023-01-12,Conferencing and Telephones
145068,2023-01-05,2023-02-24,2023-02-28,Conferencing and Telephones
145079,2023-01-05,2023-01-06,2023-01-13,Email and Collaboration Services
145086,2023-01-05,2023-01-11,2023-01-12,Network Request
145108,2023-01-05,2023-01-10,2023-01-17,Desktop and Mobile Device Support
145111,2023-01-05,2023-01-09,2023-01-12,Email and Collaboration Services
145116,2023-01-05,2023-01-25,2023-02-01,Report Outage or Error
145117,2023-01-05,2023-01-11,2023-01-12,Access Request
145120,2023-01-05,2023-01-11,2023-01-12,Informational
145136,2023-01-05,2023-01-11,2023-03-13,Internal Applications
145146,2023-01-05,2023-01-11,2023-01-13,Email and Collaboration Services
145147,2023-01-05,2023-01-11,2023-01-13,Access Request
145152,2023-01-05,2023-01-11,2023-01-16,Access Request
145158,2023-01-05,2023-01-09,2023-01-13,Access Request
145168,2023-01-06,2023-01-11,2023-01-13,Desktop and Mobile Device Support
145177,2023-01-06,2023-01-12,2023-01-13,Conferencing and Telephones
